ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13364090,JH146864,02/10/2024 12:44:00 AM,002XX W 47TH ST,0484,BATTERY,"PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY",CTA PLATFORM,true,false,0925,009,20,37,08B,1175476,1873816,2024,05/17/2025 03:40:52 PM,41.809125265,-87.631906508,"(41.809125265, -87.631906508)"
13376308,JH161184,02/22/2024 12:49:00 AM,044XX S KEDZIE AVE,0454,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",SIDEWALK,true,false,0922,009,12,58,08B,1155768,1875006,2024,05/17/2025 03:40:52 PM,41.812809432,-87.704160069,"(41.812809432, -87.704160069)"
13424244,JH219128,04/09/2024 09:54:00 PM,064XX S CLAREMONT AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,SIDEWALK,true,false,0825,008,16,66,15,1161848,1861912,2024,05/17/2025 03:40:52 PM,41.776753488,-87.682222167,"(41.776753488, -87.682222167)"
13335170,JH111953,01/11/2024 08:00:00 AM,003XX N MENARD AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1512,015,29,25,14,1137653,1901617,2024,12/21/2024 03:40:46 PM,41.886178676,-87.769967028,"(41.886178676, -87.769967028)"
13373974,JH158444,02/18/2024 02:00:00 AM,078XX S EBERHART AVE,0281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,true,true,0624,006,6,69,02,1180935,1853046,2024,12/22/2024 03:41:04 PM,41.752006389,-87.612522704,"(41.752006389, -87.612522704)"
13473230,JH274659,04/01/2024 12:00:00 AM,037XX W LEXINGTON ST,1752,OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,RESIDENCE,true,true,1133,011,24,27,17,1151700,1896448,2024,12/22/2024 03:41:04 PM,41.871729738,-87.718518713,"(41.871729738, -87.718518713)"
13425371,JH220017,04/10/2024 03:15:00 PM,0000X E 103RD ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0511,005,9,49,07,1178801,1836702,2024,12/21/2024 03:40:46 PM,41.707205201,-87.620838567,"(41.707205201, -87.620838567)"
13698175,JH550119,03/03/2024 12:00:00 AM,061XX S CHAMPLAIN AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,0313,003,20,42,11,1181625,1864447,2024,12/22/2024 03:41:04 PM,41.783275988,-87.60964266,"(41.783275988, -87.60964266)"
28063,JH219178,04/10/2024 01:31:00 AM,071XX S STEWART AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0732,007,6,68,01A,1174859,1857613,2024,04/18/2024 03:40:59 PM,41.764676314,-87.634652467,"(41.764676314, -87.634652467)"
13325751,JH101099,01/01/2024 06:35:00 PM,0000X W RANDOLPH ST,0281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,false,false,0111,001,34,32,02,1176102,1901284,2024,12/22/2024 03:41:04 PM,41.884485451,-87.628783943,"(41.884485451, -87.628783943)"
28527,JH543111,12/14/2024 10:35:00 PM,030XX W 21ST PL,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1022,010,24,30,01A,1156368,1889558,2024,12/22/2024 03:41:50 PM,41.852729812,-87.701566677,"(41.852729812, -87.701566677)"
13697854,JH549670,04/29/2024 12:01:00 AM,006XX E 69TH ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,APARTMENT,false,false,0321,003,6,42,11,1181907,1859412,2024,12/22/2024 03:41:04 PM,41.769452949,-87.6087643,"(41.769452949, -87.6087643)"
27939,JH114017,01/12/2024 08:58:00 PM,084XX S VINCENNES AVE,0110,HOMICIDE,FIRST DEGREE MURDER,PORCH,true,false,0622,006,21,71,01A,1173635,1848636,2024,03/15/2024 03:41:18 PM,41.740069496,-87.639404123,"(41.740069496, -87.639404123)"
13699869,JH552262,01/01/2024 12:01:00 AM,068XX S JEFFERY BLVD,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,false,false,0332,003,5,43,11,1190724,1859999,2024,12/24/2024 03:40:31 PM,41.77085535,-87.576426755,"(41.77085535, -87.576426755)"
13389606,JH176198,03/04/2024 12:30:00 PM,022XX N LAKEWOOD AVE,501A,OTHER OFFENSE,ANIMAL ABUSE / NEGLECT,APARTMENT,true,false,1811,018,2,7,26,1167280,1914965,2024,03/11/2025 03:40:50 PM,41.92222119,-87.66078542,"(41.92222119, -87.66078542)"
13698597,JH550763,02/24/2024 12:00:00 AM,041XX S WABASH AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,false,false,0213,002,3,38,11,1177403,1877570,2024,12/23/2024 03:41:07 PM,41.819383193,-87.624725152,"(41.819383193, -87.624725152)"
27941,JH103662,01/13/2024 04:08:00 PM,009XX E 79TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0624,006,8,69,01A,1183767,1852820,2024,03/25/2024 04:29:54 PM,41.751320646,-87.602151846,"(41.751320646, -87.602151846)"
27940,JH114155,01/13/2024 12:26:00 AM,022XX W 21ST ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1234,012,25,31,01A,1161728,1890027,2024,01/21/2024 03:41:21 PM,41.853906896,-87.681880711,"(41.853906896, -87.681880711)"
28528,JH543142,12/15/2024 01:14:00 AM,051XX S CALUMET AVE,0110,HOMICIDE,FIRST DEGREE MURDER,PORCH,false,false,0231,002,3,40,01A,1179363,1871074,2024,12/23/2024 03:41:48 PM,41.801513039,-87.617733588,"(41.801513039, -87.617733588)"
13698273,JH549986,04/15/2024 06:00:00 PM,017XX N MONTICELLO AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,2535,025,26,22,06,1151774,1911384,2024,12/23/2024 03:41:07 PM,41.912714183,-87.717853678,"(41.912714183, -87.717853678)"
27942,JH114952,01/13/2024 07:31:00 PM,016XX W 33RD PL,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0912,009,11,59,01A,1165822,1882526,2024,01/21/2024 03:41:21 PM,41.833237206,-87.667067783,"(41.833237206, -87.667067783)"
13325681,JH100982,01/01/2024 06:48:00 PM,048XX W ARMITAGE AVE,031A,ROBBERY,ARMED - HANDGUN,TAVERN / LIQUOR STORE,false,false,2522,025,26,19,03,1143985,1912866,2024,12/21/2024 03:40:46 PM,41.916930759,-87.746431558,"(41.916930759, -87.746431558)"
13327396,JH102415,01/02/2024 09:30:00 PM,072XX S CARPENTER ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0733,007,17,68,08B,1170564,1856874,2024,12/21/2024 03:40:46 PM,41.76274306,-87.650416285,"(41.76274306, -87.650416285)"
28066,JH203109,04/11/2024 07:00:00 AM,008XX W 52ND ST,0110,HOMICIDE,FIRST DEGREE MURDER,VACANT LOT,false,false,0934,009,20,61,01A,1171381,1870368,2024,04/19/2024 03:40:58 PM,41.799754324,-87.647027112,"(41.799754324, -87.647027112)"
13699758,JH552112,01/01/2024 12:00:00 AM,113XX S CHAMPLAIN AVE,1751,OFFENSE INVOLVING CHILDREN,CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,RESIDENCE,false,true,0531,005,9,50,17,1182606,1829881,2024,12/24/2024 03:40:31 PM,41.688400238,-87.607115379,"(41.688400238, -87.607115379)"
